,,Brightness,,,,,,,,,,,,,,,,,,,,,,,,Color,,,,,,,,,,,,Focus,,,,,,,,,NR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Postproc & Other,Postproc & Other,,,,,,,,,,,,,,,,,,,,,,,,
cap1_night,0x00-00-06-01-00-00-00-00,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,N,N,N,N,N,N,N,,N,N,Y,Y,,N,N,N,N,N,N,,N,N,N,N,N,N,,,,N,,N,,,,,,,N,N,,,,N,N,N,N,N,N,N,N,N,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,,,,,,N,N,N,N,,N,N,N,N,N,N,,,,N
cap2_night,0x00-00-07-01-00-00-00-00,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,N,N,N,N,N,N,N,,N,N,Y,Y,,N,N,N,N,N,N,,N,N,N,N,N,N,,,,N,,N,,,,,,,N,N,,,,N,N,N,N,N,N,N,N,N,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,N,N,N,,,N,N,N,N,,N,N,N,N,N,N,,,,N
cap3_night,0x00-00-08-01-00-00-00-00,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,N,N,N,N,N,N,N,,N,N,Y,Y,,N,N,N,N,N,N,,N,N,N,N,N,N,,,,N,,N,,,,,,,N,N,,,,N,N,N,N,N,N,N,N,N,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,N,N,N,,,N,N,N,N,,N,N,N,N,N,N,,,,N
prv0_night_face,0x00-00-01-01-00-01-00-00,,N,N,Y,Y,N,N,N,N,N,N,N,N,N,,N,N,N,,N,,N,N,N,N,Y,Y,N,Y,Y,,Y,Y,Y,Y,N,N,N,N,N,N,N,,N,N,N,N,,N,,,,N,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
prv1_night_face,0x00-00-02-01-00-01-00-00,,N,N,Y,Y,N,N,N,N,N,N,N,N,N,,N,N,N,,N,,N,N,N,N,Y,Y,N,Y,Y,,Y,Y,Y,Y,N,N,N,N,N,N,N,,N,N,N,N,,N,,,,N,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
prv2_night_face,0x00-00-03-01-00-01-00-00,,N,N,Y,Y,N,N,N,N,N,N,N,N,N,,N,N,N,,N,,N,N,N,N,Y,Y,N,Y,Y,,Y,Y,Y,Y,N,N,N,N,N,N,N,,N,N,N,N,,N,,,,N,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
prv3_night_face,0x00-00-04-01-00-01-00-00,,N,N,Y,Y,N,N,N,N,N,N,N,N,N,,N,N,N,,N,,N,N,N,N,Y,Y,N,Y,Y,,Y,Y,Y,Y,N,N,N,N,N,N,N,,N,N,N,N,,N,,,,N,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
cap0_night_face,0x00-00-05-01-00-01-00-00,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,N,N,N,N,N,N,N,,N,N,Y,Y,N,N,N,N,N,N,N,,N,N,N,N,N,N,,,,N,,N,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,N,N,N,,,N,N,N,N,,N,N,N,N,N,N,,,,N
cap1_night_face,0x00-00-06-01-00-01-00-00,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,N,N,N,N,N,N,N,,N,N,Y,Y,N,N,N,N,N,N,N,,N,N,N,N,N,N,,,,N,,N,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,N,N,N,,,N,N,N,N,,N,N,N,N,N,N,,,,N
cap2_night_face,0x00-00-07-01-00-01-00-00,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,,N,,N,N,N,N,N,N,N,N,N,,N,N,Y,Y,N,N,N,N,N,N,N,,N,N,N,N,N,N,,,,N,,N,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,N,N,N,,,N,N,N,N,,N,N,N,N,N,N,,,,N
